ts,open,high,low,close,vol
1782192300000,63438.3,63468.6,63365.2,63450.0,899.164
1782192600000,63450.0,63494.0,63411.9,63419.9,621.234
1782192900000,63419.9,63474.6,63360.3,63437.0,440.857
1782193200000,63437.0,63458.7,63350.0,63409.8,471.338
1782193500000,63409.9,63422.9,63322.0,63359.0,725.533
1782193800000,63358.9,63427.0,63337.9,63359.9,652.8
1782194100000,63360.0,63428.7,63336.7,63372.1,425.789
1782194400000,63372.0,63374.4,63310.2,63320.1,625.918
1782194700000,63320.1,63326.3,63086.0,63136.1,3087.011
1782195000000,63136.1,63194.9,63103.9,63184.6,770.891
1782195300000,63184.6,63259.4,62914.0,62998.5,2594.71
1782195600000,62998.4,63008.2,62532.4,62633.5,6019.133
1782195900000,62633.5,62744.8,62544.0,62740.0,3539.855
1782196200000,62740.0,62900.0,62638.4,62871.2,4032.929
1782196500000,62871.2,62899.9,62822.8,62875.4,795.732
1782196800000,62875.3,62962.8,62853.4,62913.3,2043.565
1782197100000,62913.2,63047.0,62876.9,62883.7,1061.725
1782197400000,62883.7,62938.9,62878.8,62920.0,371.95
1782197700000,62919.9,62948.9,62890.0,62905.5,499.843
1782198000000,62905.5,62944.0,62850.3,62915.4,665.895
1782198300000,62915.4,63000.0,62895.4,62998.2,431.349
1782198600000,62998.1,63036.9,62950.0,62998.4,551.717
1782198900000,62998.4,63009.9,62945.0,62999.9,460.606
1782199200000,62999.9,63070.1,62985.5,62993.7,456.279
1782199500000,62993.6,62993.7,62955.8,62966.3,183.931
1782199800000,62966.3,63003.6,62838.6,62913.8,804.962
1782200100000,62913.9,62987.8,62838.4,62958.5,568.359
1782200400000,62958.5,62975.4,62852.0,62863.2,345.223
1782200700000,62863.3,62960.6,62863.3,62930.1,427.674
1782201000000,62930.1,62943.5,62841.9,62897.9,436.705
1782201300000,62897.9,62947.7,62828.0,62849.2,527.775
1782201600000,62849.3,62916.5,62788.0,62803.6,797.817
1782201900000,62803.7,62832.8,62786.0,62800.9,555.85
1782202200000,62800.9,62856.1,62606.1,62638.8,1282.126
