ts,open,high,low,close,vol
1782192900000,1712.19,1714.27,1709.66,1711.18,10432.391
1782193200000,1711.18,1713.97,1711.02,1713.58,20686.365
1782193500000,1713.58,1714.4,1711.17,1712.55,11679.291
1782193800000,1712.56,1714.48,1711.66,1712.49,7503.983
1782194100000,1712.5,1714.12,1711.6,1712.78,7305.239
1782194400000,1712.78,1713.02,1709.66,1710.61,15520.608
1782194700000,1710.62,1711.34,1702.37,1705.57,60592.451
1782195000000,1705.57,1708.08,1704.2,1706.57,18644.656
1782195300000,1706.57,1708.47,1700.54,1702.35,44718.752
1782195600000,1702.35,1702.43,1680.0,1685.58,219694.882
1782195900000,1685.59,1687.26,1681.86,1686.46,50114.89
1782196200000,1686.46,1689.42,1682.5,1688.32,50405.665
1782196500000,1688.31,1689.73,1686.72,1688.74,21928.851
1782196800000,1688.74,1691.69,1688.2,1689.35,21613.909
1782197100000,1689.35,1692.61,1688.46,1689.19,14865.781
1782197400000,1689.18,1691.68,1689.18,1691.15,10148.646
1782197700000,1691.14,1692.2,1690.8,1691.29,16098.643
1782198000000,1691.29,1692.46,1690.3,1691.56,13266.286
1782198300000,1691.55,1693.67,1691.0,1693.31,10571.493
1782198600000,1693.3,1693.68,1691.43,1693.1,9648.875
1782198900000,1693.1,1693.69,1691.47,1693.11,9207.033
1782199200000,1693.1,1695.67,1692.44,1692.64,12127.006
1782199500000,1692.64,1693.0,1692.06,1692.43,4824.427
1782199800000,1692.43,1692.66,1687.36,1689.7,32297.212
1782200100000,1689.71,1690.86,1686.0,1690.04,23465.239
1782200400000,1690.03,1690.04,1686.48,1686.68,8186.0
1782200700000,1686.68,1688.89,1686.68,1688.01,7699.269
1782201000000,1688.01,1688.69,1685.39,1687.48,9345.689
1782201300000,1687.48,1688.0,1681.01,1681.96,29655.677
1782201600000,1681.97,1683.88,1678.22,1679.3,59680.312
1782201900000,1679.31,1681.42,1678.01,1680.53,27147.975
1782202200000,1680.53,1682.21,1672.84,1674.8,59513.706
1782202500000,1674.8,1674.8,1648.62,1651.94,287072.821
1782202800000,1651.94,1657.53,1633.33,1643.0,161114.975
1782203100000,1643.01,1652.49,1636.38,1641.22,123605.796
1782203400000,1641.22,1648.81,1640.84,1648.15,64848.652
1782203700000,1648.15,1650.83,1646.63,1648.53,39765.992
1782204000000,1648.54,1651.51,1648.01,1648.24,32276.707
1782204300000,1648.24,1648.25,1645.03,1645.46,21408.073
1782204600000,1645.46,1649.4,1645.36,1649.2,21757.187
1782204900000,1649.2,1649.3,1646.47,1647.36,9791.368
1782205200000,1647.35,1651.3,1647.15,1650.0,18259.77
1782205500000,1649.99,1650.1,1647.39,1648.05,9256.275
1782205800000,1648.04,1650.81,1647.64,1649.94,10667.196
1782206100000,1649.94,1650.99,1649.21,1649.75,11116.634
1782206400000,1649.75,1653.2,1649.7,1652.73,17250.496
1782206700000,1652.74,1653.5,1651.79,1652.9,11101.336
